Algorithm Impl Scenario Iteration TimeBin Throughput Delay
fidelity/cubic ccp_netlink cell 0 0 29440.0 0
fidelity/cubic ccp_netlink cell 0 0.291 6417066.666666667 2.0
fidelity/cubic ccp_netlink cell 0 0.368 9946453.333333334 5.615384615384615
fidelity/cubic ccp_netlink cell 0 0.444 13796693.333333334 15.65079365079365
fidelity/cubic ccp_netlink cell 0 0.523 14919680.0 43.475
fidelity/cubic ccp_netlink cell 0 0.599 22147413.333333336 92.8048780487805
fidelity/cubic ccp_netlink cell 0 0.677 7700480.0 115.03174603174604
fidelity/cubic ccp_netlink cell 0 0.76 20222293.333333336 123.140625
fidelity/cubic ccp_netlink cell 0 0.839 10106880.0 124.09803921568627
fidelity/cubic ccp_netlink cell 0 0.915 14759253.333333334 111.04918032786885
fidelity/cubic ccp_netlink cell 0 1.016 12192426.666666668 97.03809523809524
fidelity/cubic ccp_netlink cell 0 1.096 5614933.333333334 100.31481481481481
fidelity/cubic ccp_netlink cell 0 1.273 21984426.666666668 110.9126213592233
fidelity/cubic ccp_netlink cell 0 1.359 6737920.0 75.02127659574468
fidelity/cubic ccp_netlink cell 0 1.441 10415786.666666668 129.12820512820514
fidelity/cubic ccp_netlink cell 0 1.518 9946453.333333334 170.5483870967742
fidelity/cubic ccp_netlink cell 0 1.637 11390293.333333334 122.82
fidelity/cubic ccp_netlink cell 0 1.72 11550720.0 160.7625
fidelity/cubic ccp_netlink cell 0 1.802 4010666.666666667 110.81818181818181
fidelity/cubic ccp_netlink cell 0 1.878 5614933.333333334 152.78571428571428
fidelity/cubic ccp_netlink cell 0 1.96 4652373.333333334 192.0625
fidelity/cubic ccp_netlink cell 0 2.043 8181760.0 243.32432432432432
fidelity/cubic ccp_netlink cell 0 2.119 5775360.0 224.91666666666666
fidelity/cubic ccp_netlink cell 0 2.199 16844800.0 205.85185185185185
fidelity/cubic ccp_netlink cell 0 2.277 7860906.666666667 118.1917808219178
fidelity/cubic ccp_netlink cell 0 2.36 10909013.333333334 97.90196078431373
fidelity/cubic ccp_netlink cell 0 2.439 10267306.666666668 139.24561403508773
fidelity/cubic ccp_netlink cell 0 2.515 8502613.333333334 123.51515151515152
fidelity/cubic ccp_netlink cell 0 2.594 7219200.0 113.95652173913044
fidelity/cubic ccp_netlink cell 0 2.67 6256640.0 147.6341463414634
fidelity/cubic ccp_netlink cell 0 2.748 10588160.0 184.82926829268294
fidelity/cubic ccp_netlink cell 0 2.824 10267306.666666668 169.9056603773585
fidelity/cubic ccp_netlink cell 0 2.904 9465173.333333334 125.09722222222223
fidelity/cubic ccp_netlink cell 0 2.992 7540053.333333334 122.49180327868852
fidelity/cubic ccp_netlink cell 0 3.074 6417066.666666667 155.83870967741936
fidelity/cubic ccp_netlink cell 0 3.157 10427733.333333334 175.17857142857142
fidelity/cubic ccp_netlink cell 0 3.233 4973226.666666667 170.97142857142856
fidelity/cubic ccp_netlink cell 0 3.341 4973226.666666667 188.28571428571428
fidelity/cubic ccp_netlink cell 0 3.418 1604266.6666666667 234.7941176470588
fidelity/cubic ccp_netlink cell 0 3.499 7700480.0 274.96
fidelity/cubic ccp_netlink cell 0 3.576 5294080.0 304.6666666666667
fidelity/cubic ccp_netlink cell 0 3.657 6577493.333333334 283.1212121212121
fidelity/cubic ccp_netlink cell 0 3.736 6898346.666666667 241.6904761904762
fidelity/cubic ccp_netlink cell 0 3.82 9786026.666666668 202.15
fidelity/cubic ccp_netlink cell 0 3.896 5935786.666666667 176.97619047619048
fidelity/cubic ccp_netlink cell 0 3.974 10588160.0 176.11627906976744
fidelity/cubic ccp_netlink cell 0 4.051 7379626.666666667 162.14583333333334
fidelity/cubic ccp_netlink cell 0 4.132 10427733.333333334 144.08333333333334
fidelity/cubic ccp_netlink cell 0 4.215 9465173.333333334 123.87301587301587
fidelity/cubic ccp_netlink cell 0 4.305 8342186.666666667 116.65217391304348
fidelity/cubic ccp_netlink cell 0 4.382 7379626.666666667 130.34883720930233
fidelity/cubic ccp_netlink cell 0 4.459 7219200.0 133.51923076923077
fidelity/cubic ccp_netlink cell 0 4.54 11069440.0 123.16129032258064
fidelity/cubic ccp_netlink cell 0 4.62 8823466.666666668 118.34782608695652
fidelity/cubic ccp_netlink cell 0 4.702 6898346.666666667 123.6
fidelity/cubic ccp_netlink cell 0 4.779 5294080.0 147.25581395348837
fidelity/cubic ccp_netlink cell 0 4.858 3689813.3333333335 160.65714285714284
fidelity/cubic ccp_netlink cell 0 4.957 12032000.0 189.55737704918033
fidelity/cubic ccp_netlink cell 0 5.06 12673706.666666668 119.23863636363636
fidelity/cubic ccp_netlink cell 0 5.163 8823466.666666668 78.98936170212765
fidelity/cubic ccp_netlink cell 0 5.242 10748586.666666668 47.18518518518518
fidelity/cubic ccp_netlink cell 0 5.326 5614933.333333334 43.981818181818184
fidelity/cubic ccp_netlink cell 0 5.405 6096213.333333334 78.43243243243244
fidelity/cubic ccp_netlink cell 0 5.481 9465173.333333334 92.475
fidelity/cubic ccp_netlink cell 0 5.563 9786026.666666668 54.68055555555556
fidelity/cubic ccp_netlink cell 0 5.642 9625600.0 43.21212121212121
fidelity/cubic ccp_netlink cell 0 5.719 8983893.333333334 36.18
fidelity/cubic ccp_netlink cell 0 5.795 7860906.666666667 56.35
fidelity/cubic ccp_netlink cell 0 5.889 9304746.666666668 66.93181818181819
fidelity/cubic ccp_netlink cell 0 5.971 9304746.666666668 65.6984126984127
fidelity/cubic ccp_netlink cell 0 6.053 7860906.666666667 50.6551724137931
fidelity/cubic ccp_netlink cell 0 6.129 7379626.666666667 72.48648648648648
fidelity/cubic ccp_netlink cell 0 6.211 7540053.333333334 73.0
fidelity/cubic ccp_netlink cell 0 6.287 7219200.0 74.16981132075472
fidelity/cubic ccp_netlink cell 0 6.371 6096213.333333334 83.51219512195122
fidelity/cubic ccp_netlink cell 0 6.447 9465173.333333334 73.15555555555555
fidelity/cubic ccp_netlink cell 0 6.523 13154986.666666668 55.128571428571426
fidelity/cubic ccp_netlink cell 0 6.6 7219200.0 27.660714285714285
fidelity/cubic ccp_netlink cell 0 6.682 9465173.333333334 70.11111111111111
fidelity/cubic ccp_netlink cell 0 6.758 10267306.666666668 55.25757575757576
fidelity/cubic ccp_netlink cell 0 6.836 7540053.333333334 51.02040816326531
fidelity/cubic ccp_netlink cell 0 6.913 7860906.666666667 79.52083333333333
fidelity/cubic ccp_netlink cell 0 6.999 10267306.666666668 64.92647058823529
fidelity/cubic ccp_netlink cell 0 7.08 6898346.666666667 52.80769230769231
fidelity/cubic ccp_netlink cell 0 7.156 9946453.333333334 70.63829787234043
fidelity/cubic ccp_netlink cell 0 7.24 10106880.0 57.31818181818182
fidelity/cubic ccp_netlink cell 0 7.318 8021333.333333334 53.94736842105263
fidelity/cubic ccp_netlink cell 0 7.398 11069440.0 68.93103448275862
fidelity/cubic ccp_netlink cell 0 7.474 8823466.666666668 57.36842105263158
fidelity/cubic ccp_netlink cell 0 7.579 10588160.0 64.26027397260275
fidelity/cubic ccp_netlink cell 0 7.662 11069440.0 58.11764705882353
fidelity/cubic ccp_netlink cell 0 7.741 8181760.0 57.483870967741936
fidelity/cubic ccp_netlink cell 0 7.819 9625600.0 59.689655172413794
fidelity/cubic ccp_netlink cell 0 7.896 10588160.0 65.2
fidelity/cubic ccp_netlink cell 0 7.979 8502613.333333334 65.7843137254902
fidelity/cubic ccp_netlink cell 0 8.056 7058773.333333334 69.04411764705883
fidelity/cubic ccp_netlink cell 0 8.152 12673706.666666668 64.12307692307692
fidelity/cubic ccp_netlink cell 0 8.247 8342186.666666667 67.45614035087719
fidelity/cubic ccp_netlink cell 0 8.329 7058773.333333334 84.06818181818181
fidelity/cubic ccp_netlink cell 0 8.405 7700480.0 95.71739130434783
fidelity/cubic ccp_netlink cell 0 8.482 6898346.666666667 92.1304347826087
fidelity/cubic ccp_netlink cell 0 8.568 5775360.0 101.975
fidelity/cubic ccp_netlink cell 0 8.644 7860906.666666667 123.97435897435898
fidelity/cubic ccp_netlink cell 0 8.728 7860906.666666667 104.01851851851852
fidelity/cubic ccp_netlink cell 0 8.806 7700480.0 91.82692307692308
fidelity/cubic ccp_netlink cell 0 8.881 5935786.666666667 87.70731707317073
fidelity/cubic ccp_netlink cell 0 8.96 6737920.0 99.92857142857143
fidelity/cubic ccp_netlink cell 0 9.039 7058773.333333334 109.26666666666667
fidelity/cubic ccp_netlink cell 0 9.116 7058773.333333334 104.81395348837209
fidelity/cubic ccp_netlink cell 0 9.202 10748586.666666668 90.58730158730158
fidelity/cubic ccp_netlink cell 0 9.282 6256640.0 71.875
fidelity/cubic ccp_netlink cell 0 9.366 6096213.333333334 99.0
fidelity/cubic ccp_netlink cell 0 9.446 6577493.333333334 122.91666666666667
fidelity/cubic ccp_netlink cell 0 9.544 8502613.333333334 137.64583333333334
fidelity/cubic ccp_netlink cell 0 9.632 7058773.333333334 122.52830188679245
fidelity/cubic ccp_netlink cell 0 9.731 12032000.0 89.7910447761194
fidelity/cubic ccp_netlink cell 0 9.807 4331520.0 80.37209302325581
fidelity/cubic ccp_netlink cell 0 9.883 4491946.666666667 116.32
fidelity/cubic ccp_netlink cell 0 9.961 5294080.0 152.73333333333332
fidelity/cubic ccp_netlink cell 0 10.048 3689813.3333333335 183.0
fidelity/cubic ccp_netlink cell 0 10.127 2727253.3333333335 195.36363636363637
fidelity/cubic ccp_netlink cell 0 10.203 9465173.333333334 195.0487804878049
fidelity/cubic ccp_netlink cell 0 10.281 5454506.666666667 136.69565217391303
fidelity/cubic ccp_netlink cell 0 10.374 10106880.0 114.83673469387755
fidelity/cubic ccp_netlink cell 0 10.45 8181760.0 97.89285714285714
fidelity/cubic ccp_netlink cell 0 10.53 6417066.666666667 84.11320754716981
fidelity/cubic ccp_netlink cell 0 10.608 4010666.666666667 108.90322580645162
fidelity/cubic ccp_netlink cell 0 10.685 5294080.0 135.53846153846155
fidelity/cubic ccp_netlink cell 0 10.761 4010666.666666667 175.07142857142858
fidelity/cubic ccp_netlink cell 0 10.841 4331520.0 185.45454545454547
fidelity/cubic ccp_netlink cell 0 10.927 5775360.0 183.13888888888889
fidelity/cubic ccp_netlink cell 0 11.008 4973226.666666667 169.6764705882353
fidelity/cubic ccp_netlink cell 0 11.1 1925120.0 190.58823529411765
fidelity/cubic ccp_netlink cell 0 11.187 641706.6666666667 220.84615384615384
fidelity/cubic ccp_netlink cell 0 11.307 3368960.0 297.2692307692308
fidelity/cubic ccp_netlink cell 0 11.387 2727253.3333333335 344.35
fidelity/cubic ccp_netlink cell 0 11.493 10267306.666666668 312.2631578947368
fidelity/cubic ccp_netlink cell 0 11.588 3053653.3333333335 156.875
fidelity/cubic ccp_netlink cell 0 11.663 4973226.666666667 184.3846153846154
fidelity/cubic ccp_netlink cell 0 11.745 4010666.666666667 197.5
fidelity/cubic ccp_netlink cell 0 11.866 9144320.0 166.984375
fidelity/cubic ccp_netlink cell 0 11.947 7379626.666666667 117.83333333333333
