Algorithm Impl Scenario Iteration TimeBin Throughput Delay
fidelity/cubic ccp_netlink drop 0 0 31146.666666666668 0
fidelity/cubic ccp_netlink drop 0 0.1 3214506.666666667 1.0
fidelity/cubic ccp_netlink drop 0 0.18 15249066.666666668 1.2272727272727273
fidelity/cubic ccp_netlink drop 0 0.256 57593173.333333336 2.11340206185567
fidelity/cubic ccp_netlink drop 0 0.339 179196586.6666667 3.1178343949044587
fidelity/cubic ccp_netlink drop 0 0.432 88395093.33333334 22.065860215053764
fidelity/cubic ccp_netlink drop 0 0.508 101550080.0 53.2796052631579
fidelity/cubic ccp_netlink drop 0 0.584 99464533.33333334 46.764802631578945
fidelity/cubic ccp_netlink drop 0 0.662 100908373.33333334 49.35897435897436
fidelity/cubic ccp_netlink drop 0 0.739 100908373.33333334 50.53896103896104
fidelity/cubic ccp_netlink drop 0 0.815 94972586.66666667 51.65296052631579
fidelity/cubic ccp_netlink drop 0 0.89 100908373.33333334 52.08833333333333
fidelity/cubic ccp_netlink drop 0 0.97 92405760.0 53.078125
fidelity/cubic ccp_netlink drop 0 1.053 115346773.33333334 53.57831325301205
fidelity/cubic ccp_netlink drop 0 1.129 101229226.66666667 48.14638157894737
fidelity/cubic ccp_netlink drop 0 1.207 100587520.0 54.13782051282051
fidelity/cubic ccp_netlink drop 0 1.284 100587520.0 55.603896103896105
fidelity/cubic ccp_netlink drop 0 1.36 95133013.33333334 56.723684210526315
fidelity/cubic ccp_netlink drop 0 1.437 102031360.0 57.311688311688314
fidelity/cubic ccp_netlink drop 0 1.516 99624960.0 57.35284810126582
fidelity/cubic ccp_netlink drop 0 1.592 99945813.33333334 58.120065789473685
fidelity/cubic ccp_netlink drop 0 1.669 100908373.33333334 58.85876623376623
fidelity/cubic ccp_netlink drop 0 1.745 95453866.66666667 59.82401315789474
fidelity/cubic ccp_netlink drop 0 1.824 100908373.33333334 60.64715189873418
fidelity/cubic ccp_netlink drop 0 1.9 99143680.0 60.76151315789474
fidelity/cubic ccp_netlink drop 0 1.976 95935146.66666667 61.46875
fidelity/cubic ccp_netlink drop 0 2.052 99464533.33333334 61.66447368421053
fidelity/cubic ccp_netlink drop 0 2.129 100106240.0 62.375
fidelity/cubic ccp_netlink drop 0 2.206 100908373.33333334 63.633116883116884
fidelity/cubic ccp_netlink drop 0 2.284 100908373.33333334 64.04166666666667
fidelity/cubic ccp_netlink drop 0 2.361 100908373.33333334 64.4788961038961
fidelity/cubic ccp_netlink drop 0 2.439 96256000.0 64.8974358974359
fidelity/cubic ccp_netlink drop 0 2.515 98341546.66666667 65.57236842105263
fidelity/cubic ccp_netlink drop 0 2.593 103154346.66666667 65.42628205128206
fidelity/cubic ccp_netlink drop 0 2.672 99143680.0 66.45253164556962
fidelity/cubic ccp_netlink drop 0 2.749 100266666.66666667 66.83766233766234
