Algorithm Impl Scenario Iteration TimeBin Throughput Delay
fidelity/cubic ccp_netlink fixed 0 0 29440.0 0
fidelity/cubic ccp_netlink fixed 0 0.084 6577493.333333334 1.0
fidelity/cubic ccp_netlink fixed 0 0.17 24224426.666666668 1.2380952380952381
fidelity/cubic ccp_netlink fixed 0 0.248 73160533.33333334 2.3289473684210527
fidelity/cubic ccp_netlink fixed 0 0.325 102833493.33333334 7.767058823529411
fidelity/cubic ccp_netlink fixed 0 0.404 103965013.33333334 11.30505415162455
fidelity/cubic ccp_netlink fixed 0 0.48 98020693.33333334 17.294407894736842
fidelity/cubic ccp_netlink fixed 0 0.556 95141546.66666667 17.519736842105264
fidelity/cubic ccp_netlink fixed 0 0.632 101550080.0 18.667763157894736
fidelity/cubic ccp_netlink fixed 0 0.708 95935146.66666667 17.51888341543514
fidelity/cubic ccp_netlink fixed 0 0.783 97539413.33333334 18.205
fidelity/cubic ccp_netlink fixed 0 0.859 97378986.66666667 17.23355263157895
fidelity/cubic ccp_netlink fixed 0 0.935 103635626.66666667 18.37171052631579
fidelity/cubic ccp_netlink fixed 0 1.021 72833706.66666667 17.57122093023256
fidelity/cubic ccp_netlink fixed 0 1.096 100266666.66666667 9.95
fidelity/cubic ccp_netlink fixed 0 1.176 103475200.0 7.6234375
fidelity/cubic ccp_netlink fixed 0 1.253 98983253.33333334 7.910714285714286
fidelity/cubic ccp_netlink fixed 0 1.332 100266666.66666667 8.45253164556962
fidelity/cubic ccp_netlink fixed 0 1.408 93689173.33333334 8.337171052631579
fidelity/cubic ccp_netlink fixed 0 1.483 100908373.33333334 8.468333333333334
fidelity/cubic ccp_netlink fixed 0 1.559 93689173.33333334 8.932565789473685
fidelity/cubic ccp_netlink fixed 0 1.635 100908373.33333334 9.453947368421053
fidelity/cubic ccp_netlink fixed 0 1.714 100908373.33333334 9.164556962025317
fidelity/cubic ccp_netlink fixed 0 1.79 79250773.33333334 9.557565789473685
fidelity/cubic ccp_netlink fixed 0 1.866 101229226.66666667 8.290766208251473
fidelity/cubic ccp_netlink fixed 0 1.944 100587520.0 10.341346153846153
fidelity/cubic ccp_netlink fixed 0 2.02 95935146.66666667 10.457236842105264
fidelity/cubic ccp_netlink fixed 0 2.097 101550080.0 10.551948051948052
fidelity/cubic ccp_netlink fixed 0 2.174 98020693.33333334 10.829545454545455
fidelity/cubic ccp_netlink fixed 0 2.25 97218560.0 11.15625
fidelity/cubic ccp_netlink fixed 0 2.326 97378986.66666667 11.143092105263158
fidelity/cubic ccp_netlink fixed 0 2.403 100908373.33333334 11.415584415584416
fidelity/cubic ccp_netlink fixed 0 2.479 93689173.33333334 11.708881578947368
fidelity/cubic ccp_netlink fixed 0 2.555 100908373.33333334 11.967105263157896
fidelity/cubic ccp_netlink fixed 0 2.633 100908373.33333334 11.639423076923077
fidelity/cubic ccp_netlink fixed 0 2.711 100908373.33333334 11.990384615384615
fidelity/cubic ccp_netlink fixed 0 2.788 96416426.66666667 11.98538961038961
fidelity/cubic ccp_netlink fixed 0 2.864 98983253.33333334 12.427631578947368
fidelity/cubic ccp_netlink fixed 0 2.945 102191786.66666667 12.300925925925926
fidelity/cubic ccp_netlink fixed 0 3.022 99785386.66666667 11.566558441558442
fidelity/cubic ccp_netlink fixed 0 3.098 96416426.66666667 12.001644736842104
fidelity/cubic ccp_netlink fixed 0 3.175 97218560.0 12.60064935064935
fidelity/cubic ccp_netlink fixed 0 3.251 100908373.33333334 12.646381578947368
fidelity/cubic ccp_netlink fixed 0 3.327 93689173.33333334 12.804276315789474
fidelity/cubic ccp_netlink fixed 0 3.405 100908373.33333334 13.517628205128204
fidelity/cubic ccp_netlink fixed 0 3.482 100908373.33333334 10.252045826513912
fidelity/cubic ccp_netlink fixed 0 3.559 94491306.66666667 13.212662337662337
fidelity/cubic ccp_netlink fixed 0 3.635 100106240.0 13.236842105263158
fidelity/cubic ccp_netlink fixed 0 3.712 93689173.33333334 13.439935064935066
fidelity/cubic ccp_netlink fixed 0 3.788 100908373.33333334 13.077302631578947
fidelity/cubic ccp_netlink fixed 0 3.864 101710506.66666667 12.975328947368421
fidelity/cubic ccp_netlink fixed 0 3.944 101229226.66666667 13.7046875
fidelity/cubic ccp_netlink fixed 0 4.022 99785386.66666667 13.798076923076923
fidelity/cubic ccp_netlink fixed 0 4.098 95133013.33333334 13.439144736842104
fidelity/cubic ccp_netlink fixed 0 4.175 99464533.33333334 14.212662337662337
fidelity/cubic ccp_netlink fixed 0 4.252 95293440.0 14.073051948051948
fidelity/cubic ccp_netlink fixed 0 4.328 102518186.66666667 14.399671052631579
fidelity/cubic ccp_netlink fixed 0 4.406 98662400.0 13.849358974358974
fidelity/cubic ccp_netlink fixed 0 4.483 99945813.33333334 13.636363636363637
fidelity/cubic ccp_netlink fixed 0 4.56 100908373.33333334 13.644480519480519
fidelity/cubic ccp_netlink fixed 0 4.638 96416426.66666667 13.629807692307692
fidelity/cubic ccp_netlink fixed 0 4.716 98181120.0 14.113782051282051
fidelity/cubic ccp_netlink fixed 0 4.792 100908373.33333334 14.02796052631579
fidelity/cubic ccp_netlink fixed 0 4.87 100908373.33333334 14.538461538461538
fidelity/cubic ccp_netlink fixed 0 4.949 100908373.33333334 14.533227848101266
fidelity/cubic ccp_netlink fixed 0 5.027 100908373.33333334 14.615384615384615
fidelity/cubic ccp_netlink fixed 0 5.104 96256000.0 14.404220779220779
fidelity/cubic ccp_netlink fixed 0 5.181 100106240.0 14.717532467532468
fidelity/cubic ccp_netlink fixed 0 5.26 100106240.0 15.044303797468354
fidelity/cubic ccp_netlink fixed 0 5.339 99945813.33333334 15.378164556962025
fidelity/cubic ccp_netlink fixed 0 5.417 101550080.0 14.892628205128204
fidelity/cubic ccp_netlink fixed 0 5.495 100266666.66666667 14.923076923076923
fidelity/cubic ccp_netlink fixed 0 5.571 100908373.33333334 15.120065789473685
fidelity/cubic ccp_netlink fixed 0 5.647 94812160.0 14.87171052631579
fidelity/cubic ccp_netlink fixed 0 5.723 99785386.66666667 15.90625
fidelity/cubic ccp_netlink fixed 0 5.8 93689173.33333334 15.925324675324676
fidelity/cubic ccp_netlink fixed 0 5.876 100908373.33333334 16.03782894736842
fidelity/cubic ccp_netlink fixed 0 5.952 93689173.33333334 16.370065789473685
fidelity/cubic ccp_netlink fixed 0 6.028 101710506.66666667 16.54111842105263
fidelity/cubic ccp_netlink fixed 0 6.104 97218560.0 16.057565789473685
fidelity/cubic ccp_netlink fixed 0 6.18 96576853.33333334 16.508223684210527
fidelity/cubic ccp_netlink fixed 0 6.256 94651733.33333334 16.332236842105264
fidelity/cubic ccp_netlink fixed 0 6.332 102673066.66666667 16.46875
fidelity/cubic ccp_netlink fixed 0 6.41 98181120.0 16.89903846153846
fidelity/cubic ccp_netlink fixed 0 6.487 96737280.0 17.0762987012987
fidelity/cubic ccp_netlink fixed 0 6.563 99464533.33333334 16.679276315789473
fidelity/cubic ccp_netlink fixed 0 6.639 78609066.66666667 17.189144736842106
fidelity/cubic ccp_netlink fixed 0 6.715 100427093.33333334 9.179276315789474
fidelity/cubic ccp_netlink fixed 0 6.792 93689173.33333334 4.7061688311688314
fidelity/cubic ccp_netlink fixed 0 6.868 100908373.33333334 5.7521815008726005
fidelity/cubic ccp_netlink fixed 0 6.947 100908373.33333334 5.7136075949367084
fidelity/cubic ccp_netlink fixed 0 7.023 93689173.33333334 6.488486842105263
fidelity/cubic ccp_netlink fixed 0 7.099 100908373.33333334 6.641447368421052
fidelity/cubic ccp_netlink fixed 0 7.176 100908373.33333334 6.9561688311688314
fidelity/cubic ccp_netlink fixed 0 7.254 100908373.33333334 7.232371794871795
fidelity/cubic ccp_netlink fixed 0 7.331 94170453.33333334 7.917207792207792
fidelity/cubic ccp_netlink fixed 0 7.408 101229226.66666667 8.488636363636363
fidelity/cubic ccp_netlink fixed 0 7.487 100587520.0 8.57120253164557
fidelity/cubic ccp_netlink fixed 0 7.563 96737280.0 8.758223684210526
fidelity/cubic ccp_netlink fixed 0 7.639 97860266.66666667 9.106907894736842
fidelity/cubic ccp_netlink fixed 0 7.715 100427093.33333334 9.353618421052632
fidelity/cubic ccp_netlink fixed 0 7.792 100908373.33333334 10.045454545454545
fidelity/cubic ccp_netlink fixed 0 7.868 98020693.33333334 10.157894736842104
fidelity/cubic ccp_netlink fixed 0 7.945 97378986.66666667 10.761363636363637
fidelity/cubic ccp_netlink fixed 0 8.023 100106240.0 10.740384615384615
fidelity/cubic ccp_netlink fixed 0 8.099 94491306.66666667 11.304276315789474
fidelity/cubic ccp_netlink fixed 0 8.175 102191786.66666667 11.452302631578947
fidelity/cubic ccp_netlink fixed 0 8.251 93047466.66666667 11.268092105263158
fidelity/cubic ccp_netlink fixed 0 8.327 99464533.33333334 12.083881578947368
fidelity/cubic ccp_netlink fixed 0 8.403 95935146.66666667 11.830592105263158
fidelity/cubic ccp_netlink fixed 0 8.479 98662400.0 12.455592105263158
fidelity/cubic ccp_netlink fixed 0 8.555 97860266.66666667 12.5625
fidelity/cubic ccp_netlink fixed 0 8.63 96737280.0 12.843333333333334
fidelity/cubic ccp_netlink fixed 0 8.707 95935146.66666667 13.029220779220779
fidelity/cubic ccp_netlink fixed 0 8.783 98983253.33333334 13.15625
fidelity/cubic ccp_netlink fixed 0 8.858 96416426.66666667 13.031666666666666
fidelity/cubic ccp_netlink fixed 0 8.935 101550080.0 13.556818181818182
fidelity/cubic ccp_netlink fixed 0 9.011 94491306.66666667 13.518092105263158
fidelity/cubic ccp_netlink fixed 0 9.086 99304106.66666667 14.113333333333333
fidelity/cubic ccp_netlink fixed 0 9.162 96416426.66666667 14.052631578947368
fidelity/cubic ccp_netlink fixed 0 9.238 102512640.0 14.569078947368421
fidelity/cubic ccp_netlink fixed 0 9.316 96576853.33333334 13.65224358974359
fidelity/cubic ccp_netlink fixed 0 9.394 98020693.33333334 14.884615384615385
fidelity/cubic ccp_netlink fixed 0 9.47 96576853.33333334 14.78125
fidelity/cubic ccp_netlink fixed 0 9.546 99464533.33333334 14.679276315789474
fidelity/cubic ccp_netlink fixed 0 9.623 92245333.33333334 15.029220779220779
fidelity/cubic ccp_netlink fixed 0 9.698 103314773.33333334 15.688333333333333
fidelity/cubic ccp_netlink fixed 0 9.774 91282773.33333334 14.97203947368421
fidelity/cubic ccp_netlink fixed 0 9.849 104277333.33333334 15.081666666666667
fidelity/cubic ccp_netlink fixed 0 9.925 97539413.33333334 15.519736842105264
fidelity/cubic ccp_netlink fixed 0 10.003 100908373.33333334 16.174679487179485
fidelity/cubic ccp_netlink fixed 0 10.079 93689173.33333334 15.595394736842104
fidelity/cubic ccp_netlink fixed 0 10.156 103154346.66666667 16.02922077922078
fidelity/cubic ccp_netlink fixed 0 10.235 98662400.0 16.710443037974684
fidelity/cubic ccp_netlink fixed 0 10.313 101229226.66666667 16.677884615384617
