Algorithm Impl Scenario Iteration TimeBin Throughput Delay
fidelity/reno ccp_netlink cell 0 0 29440.0 0
fidelity/reno ccp_netlink cell 0 0.084 3368960.0 4.0
fidelity/reno ccp_netlink cell 0 0.171 11550720.0 8.090909090909092
fidelity/reno ccp_netlink cell 0 0.251 23101440.0 11.5
fidelity/reno ccp_netlink cell 0 0.333 11069440.0 31.597014925373134
fidelity/reno ccp_netlink cell 0 0.411 21336746.666666668 74.36206896551724
fidelity/reno ccp_netlink cell 0 0.495 2406400.0 115.75925925925925
fidelity/reno ccp_netlink cell 0 0.629 23430826.666666668 153.57142857142858
fidelity/reno ccp_netlink cell 0 0.707 8663040.0 83.7
fidelity/reno ccp_netlink cell 0 0.783 4171093.3333333335 95.41538461538461
fidelity/reno ccp_netlink cell 0 0.877 20219733.333333336 127.56338028169014
fidelity/reno ccp_netlink cell 0 0.966 10427733.333333334 72.59701492537313
fidelity/reno ccp_netlink cell 0 1.056 15080106.666666668 70.0506329113924
fidelity/reno ccp_netlink cell 0 1.137 6898346.666666667 99.57446808510639
fidelity/reno ccp_netlink cell 0 1.213 8502613.333333334 117.54166666666667
fidelity/reno ccp_netlink cell 0 1.29 5454506.666666667 162.22222222222223
fidelity/reno ccp_netlink cell 0 1.366 7219200.0 178.81578947368422
fidelity/reno ccp_netlink cell 0 1.444 11711146.666666668 183.02702702702703
fidelity/reno ccp_netlink cell 0 1.52 8502613.333333334 169.31147540983608
fidelity/reno ccp_netlink cell 0 1.644 12994560.0 130.69565217391303
fidelity/reno ccp_netlink cell 0 1.726 10427733.333333334 162.45882352941177
fidelity/reno ccp_netlink cell 0 1.802 3048106.666666667 107.62068965517241
fidelity/reno ccp_netlink cell 0 1.879 6577493.333333334 158.11111111111111
fidelity/reno ccp_netlink cell 0 1.959 4652373.333333334 196.80555555555554
fidelity/reno ccp_netlink cell 0 2.04 8983893.333333334 246.96969696969697
fidelity/reno ccp_netlink cell 0 2.116 5775360.0 219.22222222222223
fidelity/reno ccp_netlink cell 0 2.197 17646933.333333336 206.62962962962962
fidelity/reno ccp_netlink cell 0 2.274 7860906.666666667 118.47945205479452
fidelity/reno ccp_netlink cell 0 2.357 9946453.333333334 98.07843137254902
fidelity/reno ccp_netlink cell 0 2.436 11871573.333333334 142.66666666666666
fidelity/reno ccp_netlink cell 0 2.513 8983893.333333334 126.56060606060606
fidelity/reno ccp_netlink cell 0 2.594 7700480.0 115.75510204081633
fidelity/reno ccp_netlink cell 0 2.671 6417066.666666667 150.6315789473684
fidelity/reno ccp_netlink cell 0 2.757 12032000.0 187.91666666666666
fidelity/reno ccp_netlink cell 0 2.833 9465173.333333334 162.33333333333334
fidelity/reno ccp_netlink cell 0 2.91 10909013.333333334 120.98305084745763
fidelity/reno ccp_netlink cell 0 2.999 6096213.333333334 124.25806451612904
fidelity/reno ccp_netlink cell 0 3.076 8502613.333333334 156.83333333333334
fidelity/reno ccp_netlink cell 0 3.153 9144320.0 172.85185185185185
fidelity/reno ccp_netlink cell 0 3.23 4973226.666666667 167.66666666666666
fidelity/reno ccp_netlink cell 0 3.34 5294080.0 187.06896551724137
fidelity/reno ccp_netlink cell 0 3.417 1925120.0 243.05882352941177
fidelity/reno ccp_netlink cell 0 3.505 9786026.666666668 277.2916666666667
fidelity/reno ccp_netlink cell 0 3.584 4010666.666666667 301.42857142857144
fidelity/reno ccp_netlink cell 0 3.664 6096213.333333334 279.72972972972974
fidelity/reno ccp_netlink cell 0 3.744 8502613.333333334 240.0
fidelity/reno ccp_netlink cell 0 3.82 9625600.0 194.45714285714286
fidelity/reno ccp_netlink cell 0 3.899 5454506.666666667 175.43478260869566
fidelity/reno ccp_netlink cell 0 3.976 11871573.333333334 177.0731707317073
fidelity/reno ccp_netlink cell 0 4.054 6898346.666666667 155.72549019607843
fidelity/reno ccp_netlink cell 0 4.132 10427733.333333334 143.3050847457627
fidelity/reno ccp_netlink cell 0 4.254 8342186.666666667 122.58064516129032
fidelity/reno ccp_netlink cell 0 4.341 8026880.0 122.56603773584905
fidelity/reno ccp_netlink cell 0 4.419 8983893.333333334 84.3076923076923
fidelity/reno ccp_netlink cell 0 4.505 11229866.666666668 76.88709677419355
fidelity/reno ccp_netlink cell 0 4.595 7219200.0 70.07272727272728
fidelity/reno ccp_netlink cell 0 4.686 9625600.0 83.22413793103448
fidelity/reno ccp_netlink cell 0 4.769 5775360.0 94.05882352941177
fidelity/reno ccp_netlink cell 0 4.855 3850240.0 109.92307692307692
fidelity/reno ccp_netlink cell 0 4.964 12994560.0 127.40579710144928
fidelity/reno ccp_netlink cell 0 5.056 17005226.666666668 56.6125
fidelity/reno ccp_netlink cell 0 5.133 9786026.666666668 46.57377049180328
fidelity/reno ccp_netlink cell 0 5.211 10909013.333333334 63.15942028985507
fidelity/reno ccp_netlink cell 0 5.289 5454506.666666667 66.27586206896552
fidelity/reno ccp_netlink cell 0 5.366 5935786.666666667 90.3529411764706
fidelity/reno ccp_netlink cell 0 5.448 6737920.0 132.7
fidelity/reno ccp_netlink cell 0 5.527 10909013.333333334 125.66666666666667
fidelity/reno ccp_netlink cell 0 5.608 12673706.666666668 74.94202898550725
fidelity/reno ccp_netlink cell 0 5.685 7058773.333333334 68.57142857142857
fidelity/reno ccp_netlink cell 0 5.764 8663040.0 78.26530612244898
fidelity/reno ccp_netlink cell 0 5.846 5935786.666666667 93.3076923076923
fidelity/reno ccp_netlink cell 0 5.924 10588160.0 116.96
fidelity/reno ccp_netlink cell 0 6.002 8342186.666666667 96.74545454545455
fidelity/reno ccp_netlink cell 0 6.101 8823466.666666668 94.55172413793103
fidelity/reno ccp_netlink cell 0 6.179 8021333.333333334 119.55813953488372
fidelity/reno ccp_netlink cell 0 6.257 6256640.0 118.40425531914893
fidelity/reno ccp_netlink cell 0 6.367 9946453.333333334 117.7936507936508
fidelity/reno ccp_netlink cell 0 6.446 8983893.333333334 130.27659574468086
fidelity/reno ccp_netlink cell 0 6.524 13475840.0 91.32926829268293
fidelity/reno ccp_netlink cell 0 6.607 7219200.0 59.294117647058826
fidelity/reno ccp_netlink cell 0 6.688 10909013.333333334 96.26229508196721
fidelity/reno ccp_netlink cell 0 6.767 9625600.0 92.109375
fidelity/reno ccp_netlink cell 0 6.854 8181760.0 92.5925925925926
fidelity/reno ccp_netlink cell 0 6.93 7058773.333333334 114.09433962264151
fidelity/reno ccp_netlink cell 0 7.007 11229866.666666668 107.55737704918033
fidelity/reno ccp_netlink cell 0 7.087 6577493.333333334 98.58
fidelity/reno ccp_netlink cell 0 7.164 9304746.666666668 107.25490196078431
fidelity/reno ccp_netlink cell 0 7.246 11069440.0 101.5625
fidelity/reno ccp_netlink cell 0 7.325 7379626.666666667 93.83636363636364
fidelity/reno ccp_netlink cell 0 7.405 11390293.333333334 105.13333333333334
fidelity/reno ccp_netlink cell 0 7.487 7219200.0 101.48387096774194
fidelity/reno ccp_netlink cell 0 7.567 10106880.0 102.27272727272727
fidelity/reno ccp_netlink cell 0 7.643 8983893.333333334 108.08196721311475
fidelity/reno ccp_netlink cell 0 7.72 10267306.666666668 93.01694915254237
fidelity/reno ccp_netlink cell 0 7.805 10909013.333333334 95.01408450704226
fidelity/reno ccp_netlink cell 0 7.89 9625600.0 104.45762711864407
fidelity/reno ccp_netlink cell 0 7.966 7860906.666666667 105.06
fidelity/reno ccp_netlink cell 0 8.046 8502613.333333334 106.15151515151516
fidelity/reno ccp_netlink cell 0 8.159 14277973.333333334 103.91549295774648
fidelity/reno ccp_netlink cell 0 8.254 7540053.333333334 112.22950819672131
fidelity/reno ccp_netlink cell 0 8.335 7540053.333333334 120.48837209302326
fidelity/reno ccp_netlink cell 0 8.411 7058773.333333334 142.46808510638297
fidelity/reno ccp_netlink cell 0 8.489 6898346.666666667 148.87234042553192
fidelity/reno ccp_netlink cell 0 8.569 5133653.333333334 151.0857142857143
fidelity/reno ccp_netlink cell 0 8.645 8181760.0 173.9047619047619
