Algorithm Impl Scenario Iteration TimeBin Throughput Delay
fidelity/reno ccp_netlink drop 0 0 22613.333333333336 0
fidelity/reno ccp_netlink drop 0 0.079 3214506.666666667 1.0
fidelity/reno ccp_netlink drop 0 0.158 16363520.0 1.2272727272727273
fidelity/reno ccp_netlink drop 0 0.233 60641280.0 2.116504854368932
fidelity/reno ccp_netlink drop 0 0.311 188661760.0 6.300791556728232
fidelity/reno ccp_netlink drop 0 0.429 90801493.33333334 28.40491452991453
fidelity/reno ccp_netlink drop 0 0.506 100908373.33333334 42.76298701298701
fidelity/reno ccp_netlink drop 0 0.582 100916906.66666667 28.036184210526315
fidelity/reno ccp_netlink drop 0 0.659 96416426.66666667 28.275974025974026
fidelity/reno ccp_netlink drop 0 0.735 98181120.0 28.70394736842105
fidelity/reno ccp_netlink drop 0 0.811 96737280.0 28.73355263157895
fidelity/reno ccp_netlink drop 0 0.888 97868800.0 28.925324675324674
fidelity/reno ccp_netlink drop 0 0.964 103956480.0 28.55665024630542
fidelity/reno ccp_netlink drop 0 1.043 97218560.0 29.3876582278481
fidelity/reno ccp_netlink drop 0 1.118 94330880.0 28.965
fidelity/reno ccp_netlink drop 0 1.194 97218560.0 28.960526315789473
fidelity/reno ccp_netlink drop 0 1.27 98822826.66666667 29.03782894736842
fidelity/reno ccp_netlink drop 0 1.347 100266666.66666667 29.681818181818183
fidelity/reno ccp_netlink drop 0 1.423 93849600.0 29.74342105263158
fidelity/reno ccp_netlink drop 0 1.499 102833493.33333334 30.129934210526315
fidelity/reno ccp_netlink drop 0 1.575 98020693.33333334 29.80921052631579
fidelity/reno ccp_netlink drop 0 1.651 93689173.33333334 30.830592105263158
fidelity/reno ccp_netlink drop 0 1.727 100908373.33333334 30.97532894736842
fidelity/reno ccp_netlink drop 0 1.804 93689173.33333334 30.443181818181817
fidelity/reno ccp_netlink drop 0 1.88 100908373.33333334 30.94078947368421
fidelity/reno ccp_netlink drop 0 1.956 94330880.0 30.40953947368421
fidelity/reno ccp_netlink drop 0 2.032 101389653.33333334 31.580592105263158
fidelity/reno ccp_netlink drop 0 2.111 102352213.33333334 31.571202531645568
fidelity/reno ccp_netlink drop 0 2.187 92887040.0 31.731907894736842
fidelity/reno ccp_netlink drop 0 2.263 99143680.0 31.85032894736842
fidelity/reno ccp_netlink drop 0 2.339 100908373.33333334 32.120065789473685
fidelity/reno ccp_netlink drop 0 2.415 93689173.33333334 32.15953947368421
fidelity/reno ccp_netlink drop 0 2.492 100908373.33333334 32.33441558441559
fidelity/reno ccp_netlink drop 0 2.569 101389653.33333334 32.52435064935065
fidelity/reno ccp_netlink drop 0 2.648 100427093.33333334 33.17088607594937
fidelity/reno ccp_netlink drop 0 2.724 96897706.66666667 32.901315789473685
fidelity/reno ccp_netlink drop 0 2.801 65133226.66666667 32.875
fidelity/reno ccp_netlink drop 0 2.878 97378986.66666667 27.251623376623378
fidelity/reno ccp_netlink drop 0 2.955 93689173.33333334 4.685064935064935
fidelity/reno ccp_netlink drop 0 3.031 102191786.66666667 4.942434210526316
fidelity/reno ccp_netlink drop 0 3.11 99624960.0 4.917329093799682
fidelity/reno ccp_netlink drop 0 3.186 100908373.33333334 5.546052631578948
fidelity/reno ccp_netlink drop 0 3.263 93689173.33333334 5.5064935064935066
fidelity/reno ccp_netlink drop 0 3.339 100908373.33333334 6.220394736842105
fidelity/reno ccp_netlink drop 0 3.417 101550080.0 6.3493589743589745
fidelity/reno ccp_netlink drop 0 3.496 100747946.66666667 6.875
fidelity/reno ccp_netlink drop 0 3.574 100427093.33333334 6.947115384615385
fidelity/reno ccp_netlink drop 0 3.65 96256000.0 6.345394736842105
fidelity/reno ccp_netlink drop 0 3.726 98822826.66666667 7.837171052631579
fidelity/reno ccp_netlink drop 0 3.804 100432640.0 7.915064102564102
fidelity/reno ccp_netlink drop 0 3.88 97378986.66666667 8.014802631578947
fidelity/reno ccp_netlink drop 0 3.957 100427093.33333334 8.339285714285714
fidelity/reno ccp_netlink drop 0 4.034 97699840.0 8.743506493506494
fidelity/reno ccp_netlink drop 0 4.112 96416426.66666667 9.45673076923077
fidelity/reno ccp_netlink drop 0 4.191 105400320.0 9.45253164556962
fidelity/reno ccp_netlink drop 0 4.267 95133013.33333334 8.799342105263158
fidelity/reno ccp_netlink drop 0 4.343 99464533.33333334 9.90296052631579
fidelity/reno ccp_netlink drop 0 4.419 100747946.66666667 10.370065789473685
fidelity/reno ccp_netlink drop 0 4.495 62405973.333333336 10.646381578947368
fidelity/reno ccp_netlink drop 0 4.572 67379200.0 8.247443762781186
fidelity/reno ccp_netlink drop 0 4.649 67700053.33333334 2.4613526570048307
fidelity/reno ccp_netlink drop 0 4.729 69464746.66666667 2.374418604651163
fidelity/reno ccp_netlink drop 0 4.807 66737493.333333336 2.011520737327189
fidelity/reno ccp_netlink drop 0 4.884 74598400.0 2.2661870503597124
fidelity/reno ccp_netlink drop 0 4.963 74437973.33333334 2.2195652173913043
fidelity/reno ccp_netlink drop 0 5.042 70106453.33333334 2.1540130151843817
fidelity/reno ccp_netlink drop 0 5.118 69625173.33333334 2.475177304964539
fidelity/reno ccp_netlink drop 0 5.195 76363093.33333334 2.4521739130434783
fidelity/reno ccp_netlink drop 0 5.271 72031573.33333334 2.3952483801295896
fidelity/reno ccp_netlink drop 0 5.348 79250773.33333334 2.7705627705627704
fidelity/reno ccp_netlink drop 0 5.428 75240106.66666667 2.849686847599165
fidelity/reno ccp_netlink drop 0 5.504 83261440.0 2.771604938271605
fidelity/reno ccp_netlink drop 0 5.583 79250773.33333334 2.6108949416342413
