Algorithm Impl Scenario Iteration TimeBin Throughput Delay
fidelity/reno ccp_netlink fixed 0 0 1639680.0 0
fidelity/reno ccp_netlink fixed 0 0.088 9786026.666666668 1.2
fidelity/reno ccp_netlink fixed 0 0.165 56470186.66666667 2.0161290322580645
fidelity/reno ccp_netlink fixed 0 0.243 129464320.0 3.847457627118644
fidelity/reno ccp_netlink fixed 0 0.327 92572160.0 14.275602409638553
fidelity/reno ccp_netlink fixed 0 0.415 143429973.33333334 12.66728280961183
fidelity/reno ccp_netlink fixed 0 0.492 106042026.66666667 10.263157894736842
fidelity/reno ccp_netlink fixed 0 0.569 97860266.66666667 18.508116883116884
fidelity/reno ccp_netlink fixed 0 0.644 103002453.33333334 19.151666666666667
fidelity/reno ccp_netlink fixed 0 0.72 98822826.66666667 18.88341543513957
fidelity/reno ccp_netlink fixed 0 0.795 102191786.66666667 19.208333333333332
fidelity/reno ccp_netlink fixed 0 0.872 104598186.66666667 19.290584415584416
fidelity/reno ccp_netlink fixed 0 0.949 103314773.33333334 18.829545454545453
fidelity/reno ccp_netlink fixed 0 1.028 104598186.66666667 18.68354430379747
fidelity/reno ccp_netlink fixed 0 1.104 93849600.0 18.94407894736842
fidelity/reno ccp_netlink fixed 0 1.196 90320213.33333334 18.599451303155007
fidelity/reno ccp_netlink fixed 0 1.273 80373760.0 1.952983725135624
fidelity/reno ccp_netlink fixed 0 1.348 85988693.33333334 2.6950495049504952
fidelity/reno ccp_netlink fixed 0 1.425 85186560.0 2.6767485822306236
fidelity/reno ccp_netlink fixed 0 1.502 83582293.33333334 2.7723880597014925
fidelity/reno ccp_netlink fixed 0 1.579 88715946.66666667 2.6954887218045114
fidelity/reno ccp_netlink fixed 0 1.658 87592960.0 2.8205128205128207
fidelity/reno ccp_netlink fixed 0 1.735 93368320.0 3.3806921675774135
fidelity/reno ccp_netlink fixed 0 1.814 91122346.66666667 3.008576329331046
fidelity/reno ccp_netlink fixed 0 1.891 95774720.0 3.0918544194107453
fidelity/reno ccp_netlink fixed 0 1.97 91122346.66666667 3.1530612244897958
fidelity/reno ccp_netlink fixed 0 2.046 93689173.33333334 3.5185185185185186
fidelity/reno ccp_netlink fixed 0 2.122 100908373.33333334 3.147457627118644
fidelity/reno ccp_netlink fixed 0 2.198 93689173.33333334 3.24283305227656
fidelity/reno ccp_netlink fixed 0 2.275 93689173.33333334 3.5008635578583767
fidelity/reno ccp_netlink fixed 0 2.351 93689173.33333334 4.205638474295191
fidelity/reno ccp_netlink fixed 0 2.427 101710506.66666667 3.608695652173913
fidelity/reno ccp_netlink fixed 0 2.508 102352213.33333334 3.9674922600619196
fidelity/reno ccp_netlink fixed 0 2.586 98822826.66666667 4.188405797101449
fidelity/reno ccp_netlink fixed 0 2.662 95935146.66666667 4.490131578947368
fidelity/reno ccp_netlink fixed 0 2.738 98501973.33333334 5.1069078947368425
fidelity/reno ccp_netlink fixed 0 2.814 95614293.33333334 5.175986842105263
fidelity/reno ccp_netlink fixed 0 2.89 98983253.33333334 5.3881578947368425
fidelity/reno ccp_netlink fixed 0 2.967 101710506.66666667 5.777597402597403
